CPU_arr,IO_arr,SYSCALL_arr,ISR_arr,overhead_arr
46,389,159,389,1
11,32,27,32,3
42,428,212,428,1
16,176,152,176,1
41,120,3,120,1
12,141,303,141,1
15,24,24,24,1
30,259,25,259,1
48,8,56,8,2
39,48,57,48,1
45,46,1,46,1
38,466,332,466,1
7,432,10,432,1
30,223,70,223,3
9,241,73,241,1
39,449,220,449,1
7,410,38,410,1
11,351,238,351,1
25,130,1,130,1
44,253,1,253,1
20,0,4,159,1
50,0,133,27,1
50,0,53,212,1
22,0,296,152,1
15,0,62,3,1
44,0,24,303,2
22,0,66,24,1
28,0,135,25,1
8,0,43,56,1
36,0,245,57,1
19,0,61,1,1
12,0,122,332,1
29,0,198,10,3
17,0,74,70,1
31,0,21,73,1
25,0,76,220,1
18,0,203,38,1
16,0,9,238,2
21,0,218,1,1
47,0,0,1,1
0,0,0,4,1
0,0,6,133,1
0,0,81,53,1
0,0,21,296,1
0,0,83,62,3
0,0,155,24,1
0,0,22,66,1
0,0,304,135,1
0,0,106,43,1
0,0,62,245,2
0,0,72,61,1
0,0,130,122,1
0,0,66,198,1
0,0,82,74,1
0,0,3,21,1
0,0,31,76,1
0,0,84,203,1
0,0,21,9,1
0,0,7,218,1
0,0,268,0,1
0,0,0,0,1
0,0,0,6,1
0,0,0,81,1
0,0,0,21,1
0,0,0,83,1
0,0,0,155,1
0,0,0,22,1
0,0,0,304,1
0,0,0,106,1
0,0,0,62,1
0,0,0,72,1
0,0,0,130,1
0,0,0,66,1
0,0,0,82,2
0,0,0,3,1
0,0,0,31,1
0,0,0,84,1
0,0,0,21,1
0,0,0,7,1
0,0,0,268,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,3
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
